FID,HUC12,FP_Areakm2,StrmOrder
654,102500020407,10.1230001,4
655,102500020408,24.0783005,4
656,102500020501,2.9870999,3
657,102500020502,7.8202600,3
658,102500020503,7.9313302,3
659,102500020504,8.4055099,-999
660,102500020505,22.3498993,-999
661,102500020601,5.5159202,2
662,102500020602,1.6086600,2
663,102500020604,7.7638798,-999
664,102500020605,8.5989704,3
665,102500020606,11.2958002,3
666,102500020607,23.0298996,-999
667,102500020608,5.8943801,-999
668,102500020609,21.5314999,3
669,102500020701,12.7649002,-999
670,102500020702,24.2395000,-999
671,102500020703,19.7381001,-999
672,102500020704,17.5144997,-999
673,102500020705,15.6324997,1
674,102500020706,8.9781303,1
675,102500020707,6.3168602,1
676,102500020801,32.1990013,-999
677,102500020802,19.0386009,-999
678,102500020803,32.8586006,-999
679,102500020804,17.0118999,-999
680,102500020805,14.3549995,2
681,102500020901,7.9572601,-999
682,102500020902,1.5943201,2
683,102500020903,20.7238998,-999
684,102500020904,13.8608999,-999
685,102500020905,8.8261099,2
686,102500020906,7.2217102,2
687,102500020907,1.4027200,2
688,102500021001,10.4108000,3
689,102500021002,5.6803799,3
690,102500021003,4.8850198,3
691,102500021004,16.9346008,-999
692,102500021005,24.5494995,-999
693,102500021006,10.6323996,-999
694,102500021007,17.4701004,-999
695,102500021009,3.8561299,2
696,102500021102,5.3355699,-999
697,102500030101,1.0359700,2
698,102500030102,5.4410100,3
699,102500030103,1.7854000,1
700,102500030104,12.3563004,3
701,102500030201,4.0718002,3
702,102500030202,5.6356001,2
703,102500030203,3.1863899,3
704,102500030204,5.7308302,4
705,102500030301,1.4898300,2
706,102500030302,4.9329100,3
707,102500030303,3.8092501,3
708,102500030304,2.6315000,3
709,102500030305,5.9054499,2
710,102500030306,7.4298201,4
711,102500030401,5.2929201,2
712,102500030402,1.6162800,2
713,102500030403,7.5718398,3
714,102500030404,11.7911997,3
715,102500030405,7.4560900,3
716,102500030406,6.9738898,3
717,102500030501,3.9815400,2
718,102500030502,3.9846599,2
719,102500030503,3.2428300,3
720,102500030504,7.3174400,3
721,102500030505,3.1688800,2
722,102500030506,3.3186600,2
723,102500030507,1.7146699,1
724,102500030508,5.4294500,2
725,102500030509,4.8936901,2
726,102500030510,7.5417299,3
727,102500030511,13.7016001,3
728,102500030601,9.1597700,4
729,102500030602,18.9528008,4
730,102500030701,3.0213201,2
731,102500030702,4.9688001,2
732,102500030703,6.3628502,2
733,102500030704,1.9660600,3
734,102500030705,5.0445099,3
735,102500030706,5.1742802,3
736,102500030707,7.7762799,3
737,102500030801,8.2756100,4
738,102500030802,4.8480000,2
739,102500030803,31.8959007,1
740,102500030804,3.8918400,3
741,102500030805,9.2801304,4
742,102500030806,10.3366003,4
743,102500030901,2.9646399,1
744,102500030902,3.7711899,2
745,102500030903,1.5849100,1
746,102500030904,9.6876202,2
747,102500030905,6.6163201,4
748,102500031001,9.0180998,4
749,102500031002,8.2743502,4
750,102500031003,6.2005801,4
751,102500031004,2.0049601,4
752,102500050101,2.4112201,2
753,102500050102,3.4535401,2
754,102500050103,14.6393995,2
755,102500050104,2.9965301,2
756,102500050105,3.5180299,2
757,102500050201,2.1682899,3
758,102500050202,2.7620499,3
759,102500050203,0.7679840,3
760,102500050204,3.5166299,4
761,102500050205,17.4034996,4
762,102500050206,11.1611996,2
763,102500050207,5.8349600,2
764,102500050208,6.3862901,4
765,102500050209,3.1798401,4
766,102500050210,1.4589300,4
767,102500050301,3.1199501,3
768,102500050302,5.4809499,4
769,102500050303,14.4436998,4
770,102500050304,4.3363600,2
771,102500050305,8.1804304,-999
772,102500050306,1.8647200,-999
773,102500050307,6.8778000,-999
774,102500060101,2.2666900,2
775,102500060102,7.6086898,3
776,102500060103,7.1702299,3
777,102500060104,3.7571399,3
778,102500060105,2.1739900,3
779,102500060106,3.0787399,-999
780,102500060201,5.0527601,2
781,102500060202,6.3713102,3
782,102500060203,1.6219400,3
783,102500060301,0.8853590,3
784,102500060401,0.0202234,2
785,102500060501,0.9128990,2
786,102500120101,6.0076799,2
787,102500120102,7.2383900,2
788,102500120103,3.8229301,1
789,102500120104,10.8941002,2
790,102500130101,2.3235099,2
791,102500130103,6.3369198,2
792,102600010101,1.8951900,2
793,102600010102,3.5065300,2
794,102600010103,4.6340499,2
795,102600010104,1.2406000,3
796,102600010105,6.8324099,3
797,102600010106,1.7048800,2
798,102600010107,8.8115101,4
799,102600010108,6.9315500,3
800,102600010109,2.1417799,4
801,102600010201,0.3954920,1
802,102600020101,3.8340600,3
803,102600020102,3.9076300,3
804,102600020103,2.1823800,2
805,102600020104,1.2987100,2
806,102600020105,6.0072298,3
807,102600020201,6.4213800,3
808,102600020202,9.0034504,3
809,102600020203,4.4199400,1
810,102600020204,3.1016800,1
811,102600020205,7.8814402,3
812,102600020207,7.3019500,2
813,102600040101,2.3427200,2
814,102600040102,4.6590900,2
815,102600040103,11.7447004,2
816,102600040104,4.0375099,2
817,102600040105,3.4988599,1
818,102600040201,7.3927598,2
819,102600040203,5.1641998,2
820,102600040204,0.0797883,1
821,110200010101,0.3279490,3
822,110200010102,0.3736870,3
823,110200010103,11.1620998,3
824,110200010201,1.5697000,4
825,110200010202,0.8947130,4
826,110200010203,6.7552099,3
827,110200010204,0.0721250,2
828,110200010205,0.7481580,2
829,110200010206,8.2893600,4
830,110200010207,0.9854770,4
831,110200010208,1.7459300,1
832,110200010209,1.2054200,4
833,110200010301,0.7858570,3
834,110200010302,1.2121500,3
835,110200010303,1.1656801,2
836,110200010304,5.4409499,3
837,110200010401,0.0660213,3
838,110200010402,3.9206300,3
839,110200010403,0.7841890,2
840,110200010404,1.2328100,4
841,110200010405,0.6510430,3
842,110200010406,3.4318800,4
843,110200010501,1.1899400,3
844,110200010502,2.5457699,3
845,110200010601,0.4085270,3
846,110200010602,0.8354160,2
847,110200010603,0.4559730,3
848,110200010604,0.3587810,3
849,110200010605,0.4918370,3
850,110200010606,0.4401970,3
851,110200010607,0.2863600,2
852,110200010608,0.9286850,3
853,110200010609,2.9029801,4
854,110200010610,2.8638599,4
855,110200010701,4.0955701,4
856,110200010702,1.9214500,4
857,110200010703,1.3605601,4
858,110200010704,1.7366400,2
859,110200010705,2.2522399,4
860,110200010706,0.3326500,3
861,110200010707,0.0074282,2
862,110200010708,0.8785340,4
863,110200010709,2.7020199,4
864,110200010710,2.9047201,4
865,110200010801,0.3519810,3
866,110200010802,0.0197908,4
867,110200010803,0.4613450,4
868,110200010804,0.1845290,4
869,110200010805,1.4795800,4
870,110200010806,1.2126400,4
871,110200010807,0.2884240,4
872,110200010902,1.9763800,5
873,110200010903,0.9940700,5
874,110200010904,1.1710401,5
875,110200010905,0.7207030,2
876,110200010906,0.4676090,2
877,110200010907,1.6100399,5
878,110200011001,0.5636320,4
879,110200011002,0.7543660,3
880,110200011003,0.5970840,4
881,110200011004,1.3353100,4
882,110200011101,0.1001700,3
883,110200011102,0.5772770,3
884,110200011103,0.5229400,3
885,110200011104,0.0098225,2
886,110200011105,1.0005400,3
887,110200011106,1.0128400,3
888,110200011107,1.2690600,3
889,110200011108,1.4932700,4
890,110200011109,2.0442300,4
891,110200011110,1.6728200,4
892,110200011201,0.5396510,3
893,110200011202,0.6906870,3
894,110200011203,1.4648900,4
895,110200011204,1.9376200,3
896,110200011205,5.4642901,4
897,110200011206,7.1918702,3
898,110200011207,0.8188490,3
899,110200011208,3.4902000,4
900,110200011209,10.6855001,2
901,110200011210,3.0998700,4
902,110200011211,2.0193200,3
903,110200011212,5.2753301,4
904,110200011213,1.8591400,4
905,110200011301,0.0381612,4
906,110200011302,0.7062480,3
907,110200011303,0.0151640,2
908,110200011304,0.5635680,3
909,110200011305,1.3260700,4
910,110200011306,2.5241799,5
911,110200011307,1.3589500,5
912,110200011401,0.4924190,3
913,110200011402,1.4955100,5
914,110200011403,2.1449399,5
915,110200011404,0.0478023,3
916,110200011405,0.3474750,3
917,110200011406,2.9802499,5
918,110200011407,2.9053600,5
919,110200011408,1.4413900,5
920,110200011409,1.8509500,5
921,110200020101,0.0133121,4
922,110200020102,0.8776010,3
