OID_,IFI_HUC12,FREQUENCY,MEAN_ICI_I
,101900050204.000000000000000,23,0.786125184232000
,101900050301.000000000000000,3,0.802919305127000
,101900050302.000000000000000,9,0.827772078699000
,101900050303.000000000000000,10,0.799202781447000
,101900050304.000000000000000,17,0.379161957202000
,101900050401.000000000000000,27,0.832510499747000
,101900050402.000000000000000,14,0.804881227807000
,101900050403.000000000000000,8,0.771568153409000
,101900050404.000000000000000,15,0.788015167336000
,101900050405.000000000000000,4,0.386112818145000
,101900050406.000000000000000,18,0.501804726735000
,101900050501.000000000000000,14,0.830178391360000
,101900050502.000000000000000,16,0.801522282893000
,101900050503.000000000000000,16,0.810914555663000
,101900050504.000000000000000,20,0.579189832570000
,101900050601.000000000000000,17,0.435213313868000
,101900050602.000000000000000,4,0.710644410057000
,101900050603.000000000000000,8,0.450218277423000
,101900050604.000000000000000,16,0.293618710372000
,101900050605.000000000000000,14,0.285614587744000
,101900050701.000000000000000,23,0.436131753076000
,101900050702.000000000000000,8,0.251679045788000
,101900050703.000000000000000,7,0.244658072206000
,101900050704.000000000000000,22,0.408156807106000
,101900050705.000000000000000,8,0.213672107217000
,101900050706.000000000000000,10,0.224419601688000
,101900050707.000000000000000,25,0.276860077059000
,101900050708.000000000000000,11,0.221948347713000
,101900050709.000000000000000,15,0.311784287515000
,101900060101.000000000000000,4,0.812824285813000
,101900060102.000000000000000,7,0.849455688391000
,101900060103.000000000000000,2,0.781543213092000
,101900060104.000000000000000,15,0.811448366751000
,101900060201.000000000000000,18,0.828743788870000
,101900060202.000000000000000,40,0.627571723488000
,101900060203.000000000000000,3,0.746975877156000
,101900060204.000000000000000,12,0.780938839334000
,101900060205.000000000000000,2,0.549832553976000
,101900060206.000000000000000,4,0.678163553176000
,101900060207.000000000000000,33,0.692395768316000
,101900060301.000000000000000,17,0.792086097766000
,101900060302.000000000000000,9,0.792555875910000
,101900060303.000000000000000,12,0.731360587585000
,101900060304.000000000000000,29,0.649397138640000
,101900060401.000000000000000,11,0.748561915286000
,101900060402.000000000000000,1,0.817022477246000
,101900060403.000000000000000,5,0.791020883655000
,101900060404.000000000000000,13,0.786913031191000
,101900060501.000000000000000,12,0.519580493640000
,101900060502.000000000000000,8,0.396322786084000
,101900060503.000000000000000,9,0.206792069170000
,101900060504.000000000000000,8,0.214603524331000
,101900060601.000000000000000,4,0.853613423875000
,101900060602.000000000000000,14,0.630042401381000
,101900060603.000000000000000,19,0.637341479602000
,101900060604.000000000000000,16,0.397434608773000
,101900060605.000000000000000,16,0.279685036650000
,101900060606.000000000000000,13,0.211562960646000
,101900060607.000000000000000,13,0.234653542847000
,101900070101.000000000000000,8,0.843269003303000
,101900070102.000000000000000,6,0.850320746907000
,101900070103.000000000000000,3,0.808072710534000
,101900070104.000000000000000,6,0.783878782233000
,101900070105.000000000000000,20,0.802422537051000
,101900070201.000000000000000,5,0.867829652548000
,101900070202.000000000000000,4,0.867829652548000
,101900070203.000000000000000,11,0.855504205770000
,101900070204.000000000000000,24,0.809702028704000
,101900070205.000000000000000,22,0.859859703174000
,101900070206.000000000000000,9,0.851425098049000
,101900070207.000000000000000,2,0.817467815992000
,101900070208.000000000000000,49,0.823875468381000
,101900070209.000000000000000,2,0.775414886749000
,101900070210.000000000000000,20,0.822519643160000
,101900070301.000000000000000,14,0.794959565117000
,101900070302.000000000000000,3,0.698100453309000
,101900070303.000000000000000,16,0.717583493920000
,101900070304.000000000000000,11,0.663430107917000
,101900070305.000000000000000,19,0.711517057618000
,101900070402.000000000000000,13,0.815404513346000
,101900070403.000000000000000,14,0.840159098422000
,101900070404.000000000000000,22,0.830776570153000
,101900070501.000000000000000,22,0.821945065848000
,101900070502.000000000000000,20,0.822936520777000
,101900070503.000000000000000,18,0.773215618151000
,101900070504.000000000000000,26,0.811144876571000
,101900070601.000000000000000,24,0.757471066672000
,101900070602.000000000000000,31,0.768673322675000
,101900070603.000000000000000,18,0.764374773202000
,101900070701.000000000000000,14,0.785784120740000
,101900070702.000000000000000,22,0.744331685250000
,101900070703.000000000000000,12,0.767161791718000
,101900070704.000000000000000,55,0.716614216429000
,101900070801.000000000000000,10,0.522118926531000
,101900070802.000000000000000,18,0.752812932459000
,101900070803.000000000000000,19,0.502966655862000
,101900070804.000000000000000,30,0.323876128551000
,101900070805.000000000000000,58,0.443379945641000
,101900070901.000000000000000,14,0.692749358046000
,101900070902.000000000000000,29,0.703316122623000
,101900070903.000000000000000,50,0.770324361862000
,101900070904.000000000000000,43,0.397596794474000
,101900070905.000000000000000,30,0.269396420907000
,101900071001.000000000000000,16,0.351045283413000
,101900071002.000000000000000,47,0.326769949173000
,101900071003.000000000000000,22,0.382391795246000
,101900071004.000000000000000,3,0.179819672342000
,101900071005.000000000000000,16,0.276117429416000
,101900071006.000000000000000,27,0.265017050617000
,101900071007.000000000000000,4,0.260258861536000
,101900071008.000000000000000,21,0.244069646890000
,101900080104.000000000000000,3,0.795176149965000
,101900080105.000000000000000,13,0.821310610338000
,101900080201.000000000000000,12,0.719786809941000
,101900080202.000000000000000,19,0.245880394498000
,101900080203.000000000000000,19,0.200241205860000
,101900080204.000000000000000,37,0.307895038164000
,101900080301.000000000000000,15,0.814875352687000
,101900080302.000000000000000,17,0.767942539661000
,101900080303.000000000000000,7,0.731179740886000
,101900080304.000000000000000,25,0.322494186840000
,101900080305.000000000000000,2,0.214578256329000
,101900080306.000000000000000,25,0.222119635481000
,101900090201.000000000000000,10,0.822034748943000
,101900090202.000000000000000,17,0.734579121534000
,101900090203.000000000000000,20,0.699517786555000
,101900090204.000000000000000,14,0.699090194669000
,101900090205.000000000000000,6,0.823200264485000
,101900090206.000000000000000,8,0.852949291948000
,101900090207.000000000000000,17,0.798449261648000
,101900090208.000000000000000,31,0.646255078112000
,101900090302.000000000000000,12,0.340657031005000
,101900090303.000000000000000,26,0.648614795809000
,101900090304.000000000000000,2,0.273705250850000
,101900090305.000000000000000,18,0.758821386862000
,101900090306.000000000000000,9,0.664030253850000
,101900090401.000000000000000,6,0.705426741111000
,101900090402.000000000000000,13,0.815827453387000
,101900090403.000000000000000,15,0.654971741721000
,101900090501.000000000000000,22,0.565014662833000
,101900090502.000000000000000,15,0.708021487781000
