OID_,IFI_HUC12,FREQUENCY,MEAN_ICI_I
,101900090602.000000000000000,33,0.505944166436000
,101900100101.000000000000000,20,0.834385843761000
,101900100102.000000000000000,12,0.837270424902000
,101900100103.000000000000000,20,0.840943634267000
,101900100201.000000000000000,15,0.833217905168000
,101900100202.000000000000000,10,0.808008983439000
,101900100203.000000000000000,31,0.572050645714000
,101900100204.000000000000000,6,0.709258808862000
,101900100205.000000000000000,21,0.592158307660000
,101900100206.000000000000000,26,0.459064979867000
,101900100207.000000000000000,18,0.307962222118000
,101900100208.000000000000000,20,0.338151545038000
,101900100209.000000000000000,36,0.251318873186000
,101900100301.000000000000000,16,0.830401177505000
,101900100302.000000000000000,31,0.771641026236000
,101900100303.000000000000000,54,0.638684523894000
,101900100304.000000000000000,27,0.258940023284000
,101900100401.000000000000000,46,0.231700552726000
,101900100402.000000000000000,35,0.249215943806000
,101900100403.000000000000000,31,0.309012007568000
,101900100404.000000000000000,18,0.312971491618000
,101900110101.000000000000000,16,0.846061268460000
,101900110102.000000000000000,22,0.844891827513000
,101900110103.000000000000000,15,0.844397238724000
,101900110104.000000000000000,26,0.826919381901000
,101900110105.000000000000000,33,0.776714909831000
,101900110106.000000000000000,27,0.698589561811000
,101900110107.000000000000000,46,0.766025835611000
,101900110108.000000000000000,62,0.728584261824000
,101900110109.000000000000000,56,0.576899710582000
,101900110201.000000000000000,23,0.827852814830000
,101900110202.000000000000000,12,0.811899099156000
,101900110203.000000000000000,9,0.787572867034000
,101900110204.000000000000000,23,0.833856102566000
,101900110205.000000000000000,16,0.860197648304000
,101900110206.000000000000000,52,0.838111778210000
,101900110207.000000000000000,46,0.782913877598000
,101900110208.000000000000000,76,0.617762326400000
,101900110209.000000000000000,39,0.413057677542000
,101900110301.000000000000000,27,0.868637209599000
,101900110302.000000000000000,21,0.855003462439000
,101900110303.000000000000000,31,0.824940702280000
,101900110304.000000000000000,41,0.773615842367000
,101900110305.000000000000000,55,0.650642186301000
,101900110306.000000000000000,48,0.605491582570000
,101900110307.000000000000000,51,0.571523148753000
,101900110308.000000000000000,46,0.366632037667000
,101900110401.000000000000000,110,0.660137055325000
,101900110402.000000000000000,59,0.489687741575000
,101900110403.000000000000000,52,0.378685209597000
,101900110404.000000000000000,64,0.483197641965000
,101900110405.000000000000000,57,0.441022927997000
,101900110406.000000000000000,66,0.520265037408000
,101900110501.000000000000000,33,0.406882550524000
,101900110502.000000000000000,34,0.292663134999000
,101900110503.000000000000000,18,0.299543877079000
,101900110504.000000000000000,30,0.416760199996000
,101900120101.000000000000000,40,0.553529986326000
,101900120102.000000000000000,100,0.368532999828000
,101900120103.000000000000000,55,0.379871582895000
,101900120104.000000000000000,45,0.413423414789000
,101900120105.000000000000000,44,0.364271554039000
,101900120106.000000000000000,20,0.398800192970000
,101900120107.000000000000000,14,0.360719767788000
,101900120201.000000000000000,47,0.479190717049000
,101900120202.000000000000000,48,0.412790749999000
,101900120203.000000000000000,47,0.517852509668000
,101900120204.000000000000000,45,0.404246924321000
,101900120205.000000000000000,20,0.459693550649000
,101900120206.000000000000000,52,0.443107031700000
,101900120301.000000000000000,11,0.556328564067000
,101900120302.000000000000000,34,0.734345567692000
,101900120303.000000000000000,46,0.748348880787000
,101900120304.000000000000000,28,0.479463984158000
,101900120401.000000000000000,17,0.476787744984000
,101900120402.000000000000000,53,0.514018182713000
,101900120501.000000000000000,14,0.659727251303000
,101900120502.000000000000000,11,0.629498367172000
,101900120503.000000000000000,13,0.474357418964000
,101900120601.000000000000000,11,0.629139503658000
,101900120602.000000000000000,30,0.541524854467000
,101900120603.000000000000000,9,0.570812712689000
,101900120605.000000000000000,61,0.549136860167000
,101900120606.000000000000000,14,0.447714282065000
,101900120607.000000000000000,56,0.516386695244000
,101900120701.000000000000000,37,0.532732688355000
,101900120702.000000000000000,12,0.501248134652000
,101900120703.000000000000000,45,0.621587854683000
,101900120704.000000000000000,8,0.618400417712000
,101900120705.000000000000000,30,0.537992197198000
,101900120706.000000000000000,19,0.605878913317000
,101900120707.000000000000000,22,0.502584983724000
,101900120708.000000000000000,7,0.689711147097000
