FID,HUC12,FP_Areakm2,StrmOrder,Floods,Groundwater,Sediment,Organics_Solutes,Habitat,IFI_geomean,IFI_prod,In_City,ECO_name
106,1.019E+11,1.64432,4,0.342933849,0.610490685,0.415717171,0.34907611,0.349026754,0.402803505,0.010603914,0,SRO
107,1.019E+11,0.649795,3,0.479651628,0.667154644,0.444389891,0.48205938,0.606543035,0.529390024,0.041579452,0,SRO
108,1.019E+11,1.14856,3,0.5,0.747317123,0.689667224,0.589800134,0.61316602,0.622127637,0.093196043,0,SRO
109,1.019E+11,0.628507,4,0.940626909,0.991903856,0.828658402,0.889503294,0.883020522,0.905057506,0.607268666,0,SRO
110,1.019E+11,2.4149401,4,0.418614969,0.593850571,0.512019719,0.439430282,0.494997052,0.488038679,0.027686701,0,SRO
111,1.019E+11,1.46649,2,0.552224698,0.601547353,0.444891669,0.585465769,0.589126575,0.551404122,0.050974156,0,SRO
112,1.019E+11,1.45324,3,0.805047951,0.834546567,0.645362342,0.733873755,0.71590511,0.743893138,0.227799498,0,SRO
113,1.019E+11,1.57946,3,0.718904759,0.869046342,0.602156554,0.73189209,0.721382991,0.723781257,0.198626259,0,SRO
114,1.019E+11,1.7207,4,0.520412343,0.711178446,0.398814375,0.555280838,0.542676183,0.536574569,0.04447853,0,SRO
115,1.019E+11,1.46802,4,0.333333333,0.5,0.367886582,0.15718211,0.410726349,0.330752911,0.003958388,0,SRO
116,1.019E+11,0.164053,3,0.879981432,0.937141345,0.801046457,0.890954206,0.835606457,0.86767822,0.491805613,0,SRO
117,1.019E+11,0.522779,3,0.833333333,1,0.728704668,0.971606224,0.774720266,0.855068883,0.45709399,0,SRO
118,1.019E+11,1.13403,3,0.724220699,0.691568208,0.536233377,0.600304796,0.594670134,0.625664548,0.095875521,0,SRO
119,1.019E+11,5.0409098,5,0.822466149,0.748740357,0.51076537,0.367742004,0.624935925,0.591302738,0.07228521,0,SRO
120,1.019E+11,0.661323,3,0.644949805,0.696386579,0.479553308,0.567919849,0.536947588,0.580078045,0.065679849,0,SRO
121,1.019E+11,0.849932,5,0.79737218,0.950700818,0.511654417,0.609532262,0.532383668,0.660663964,0.125864454,0,SRO
122,1.019E+11,1.67252,5,0.502049641,0.569391615,0.264508848,0.107768002,0.228191696,0.284365902,0.001859463,0,SRO
123,1.019E+11,1.58171,5,0.640394641,0.719249367,0.480110433,0.318357119,0.473403086,0.506480576,0.033328362,0,SRO
124,1.019E+11,0.34372,2,0.841394297,0.990316603,0.648771443,0.798585767,0.747142779,0.797476885,0.322545152,1,SWT
125,1.019E+11,0.875692,2,0.748426694,0.83698096,0.734596088,0.672077506,0.691161973,0.734484324,0.213753215,1,SRO
126,1.019E+11,2.99769,3,0.383015242,0.709384839,0.586799365,0.44906582,0.553809826,0.524386679,0.039651375,1,SWT
127,1.019E+11,1.98373,3,0.486413662,0.75,0.632492034,0.509989378,0.584786471,0.585512413,0.068814591,1,SWT
128,1.019E+11,0.655704,3,0.630533517,0.821860225,0.694101693,0.678028802,0.62673644,0.686835077,0.152848905,1,SRO
129,1.019E+11,1.0142601,3,0.75825763,0.827938646,0.767383568,0.67954959,0.713344478,0.747600494,0.233532806,1,SRO
130,1.019E+11,0.256377,3,0.914750023,0.942306785,0.746189358,0.8644457,0.809950359,0.852526689,0.450339373,0,SRO
131,1.019E+11,0.789701,2,0.900906407,0.987381032,0.889624966,0.934492797,0.867739807,0.915097522,0.641707178,0,SRO
132,1.019E+11,0.537782,2,0.974850197,0.99624591,0.916477443,0.90881924,0.928428243,0.944344411,0.751020984,0,SWT
133,1.019E+11,3.44471,4,0.85681114,0.912473894,0.829427706,0.810146748,0.831320419,0.847311784,0.436733225,0,SWT
134,1.019E+11,0.678243,2,0.924406239,0.98502268,0.88016928,0.885621218,0.877201728,0.909587659,0.622619612,1,SWT
135,1.019E+11,5.17169,4,0.71015742,0.734422168,0.813087261,0.71822397,0.744502203,0.743211959,0.226758432,1,HPL
136,1.019E+11,1.05846,5,0.806118472,0.689776202,0.529152001,0.382610201,0.664093831,0.595298383,0.074760727,0,SRO
137,1.019E+11,1.40865,3,0.64753372,0.637967617,0.632338623,0.616470531,0.448080521,0.59109301,0.072157108,1,SRO
138,1.019E+11,11.9525003,5,0.802660737,0.636795336,0.6034451,0.569999806,0.52737178,0.621487289,0.092717402,1,SRO
139,1.019E+11,0.48623,2,0.833333333,0.854298728,0.644532414,0.878600152,0.700648715,0.776592114,0.282465155,1,SRO
140,1.019E+11,1.15624,3,0.939883218,0.953586645,0.862328531,0.919216541,0.890267867,0.912449984,0.632477878,1,SRO
141,1.019E+11,0.37049,2,0.5,0.75,0.681494358,0.575325811,0.61636172,0.618655118,0.090623963,1,SRO
142,1.019E+11,1.06801,3,0.565451593,0.711629697,0.655814248,0.592246068,0.651299403,0.63320253,0.101791897,1,SRO
143,1.019E+11,0.606488,3,0.5,0.75,0.613806648,0.485075531,0.564408207,0.575298324,0.063018135,1,SRO
144,1.019E+11,0.820879,3,0.5,0.75,0.594459906,0.459279875,0.556737556,0.563866579,0.057000908,1,SRO
145,1.019E+11,0.663128,2,0.46855241,0.702828616,0.609180689,0.478907585,0.551440253,0.555674905,0.05297902,0,SRO
146,1.019E+11,4.0636601,4,0.666666667,0.75,0.568967263,0.425289683,0.389009896,0.542675926,0.047065511,1,SRO
147,1.019E+11,4.5478902,4,0.470054982,0.71821122,0.52358482,0.370979492,0.504143843,0.505659828,0.033059194,1,SRO
148,1.019E+11,6.00489,5,0.556961228,0.583627848,0.481357699,0.341325085,0.437876913,0.471834648,0.023385634,1,SRO
